DATAFLOW,LAST UPDATE,freq,unit,wat_proc,wat_src,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2021,45.20,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Cyprus,2022,41.90,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2011,27.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2012,31.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2013,31.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2014,35.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2015,40.10,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2016,33.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2017,31.90,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2018,32.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2019,27.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2020,23.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2021,20.70,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Czechia,2022,27.80,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2011,50.23,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2012,46.36,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2013,42.49,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2014,52.06,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2015,61.62,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2016,71.19,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2017,88.39,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2018,105.59,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Germany,2019,122.79,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2011,241.11,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2012,243.59,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2013,251.73,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2014,236.12,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2015,229.93,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2016,198.86,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2017,213.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2018,230.15,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2019,211.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2020,236.35,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2021,231.23,p,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Denmark,2022,213.33,p,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2011,0.12,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2012,0.07,i,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2013,0.03,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2014,0.03,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2015,0.02,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2016,0.16,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2017,0.30,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2018,0.33,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2019,0.06,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2020,0.05,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2021,0.09,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Estonia,2022,0.05,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2011,3615.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2012,3615.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2013,3615.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2014,3615.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2015,3615.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2016,2801.64,b,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2017,2801.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2018,2801.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2019,2801.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2020,2801.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2021,2801.64,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Greece,2022,2801.64,p,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2011,19299.73,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2012,18349.97,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2013,16908.40,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2014,17331.06,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2015,16098.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2016,15722.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2017,15300.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2018,14878.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2019,14780.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Spain,2020,14710.00,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2011,1819.99,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2012,1881.06,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2013,1745.99,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2014,1327.24,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2015,1885.52,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2016,1935.95,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2017,1826.19,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2018,1744.15,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2019,1888.18,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2020,1985.12,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,France,2021,1615.34,,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2011,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2012,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2013,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2014,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2015,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2016,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2017,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2018,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2019,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2020,30.00,e,
ESTAT:TEN00006(1.0),05/07/24 23:00:00,Annual,Million cubic metres,"Water abstraction by agriculture, forestry, fishing",Fresh surface water,Croatia,2021,30.00,e,
